date,underlying,expiry,strike,price
2026-02-20,BTC,2026-07-31,1.0,0.4825
2026-02-20,BTC,2026-04-01,150.0,0.012
2026-02-20,BTC,2026-07-01,150.0,0.031
2026-02-20,BTC,2027-01-01,150.0,0.115
2026-02-20,BTC,2026-12-31,2027.0,0.27
2026-02-20,BTC,2026-12-31,2027.0,0.0455
2026-02-20,BTC,2026-12-31,2027.0,0.13
2026-02-20,BTC,2026-06-30,30.0,0.35
2026-02-20,BTC,2026-12-31,31.0,0.67
2026-02-20,BTC,2026-07-01,30.0,0.075
2026-02-20,BTC,2027-01-01,200000.0,0.055
2026-02-20,BTC,2027-01-01,190000.0,0.065
2026-02-20,BTC,2027-01-01,180000.0,0.065
2026-02-20,BTC,2027-01-01,170000.0,0.075
2026-02-20,BTC,2027-01-01,160000.0,0.075
2026-02-20,BTC,2027-01-01,150000.0,0.095
2026-02-20,BTC,2027-01-01,140000.0,0.145
2026-02-20,BTC,2027-01-01,130000.0,0.175
2026-02-20,BTC,2027-01-01,120000.0,0.215
2026-02-20,BTC,2027-01-01,110000.0,0.275
2026-02-20,BTC,2027-01-01,100000.0,0.37
2026-02-20,BTC,2027-01-01,55000.0,0.725
2026-02-20,BTC,2027-01-01,45000.0,0.46
2026-02-20,BTC,2027-01-01,35000.0,0.245
2026-02-20,BTC,2027-01-01,25000.0,0.125
2026-02-20,BTC,2026-12-31,256.0,0.0195
2026-02-20,BTC,2026-07-01,31.0,0.155
2026-02-20,BTC,2026-04-01,31.0,0.0165
2026-02-20,BTC,2026-07-01,30.0,0.07
2026-02-20,BTC,2026-10-01,30.0,0.145
2026-02-20,BTC,2027-01-01,31.0,0.21
2026-02-20,BTC,2026-12-31,2026.0,0.245
2026-02-20,BTC,2027-01-01,250000.0,0.053
2026-02-20,BTC,2027-01-01,15000.0,0.0705
2026-02-20,BTC,2027-01-01,800.0,0.575
2026-02-20,BTC,2027-01-01,2026.0,0.28
2026-02-20,BTC,2027-01-01,1.0,0.47
2026-02-20,BTC,2027-01-01,70.0,0.22
2026-02-20,BTC,2027-01-01,360.0,0.105
2026-02-20,BTC,2027-01-01,2026.0,0.0755
2026-02-20,BTC,2026-03-01,740.0,0.014
2026-02-20,BTC,2027-01-01,30.0,0.57
2026-02-20,BTC,2027-01-01,8.0,0.515
2026-02-20,BTC,2027-01-01,2026.0,0.009
2026-02-20,BTC,2027-01-01,2026.0,0.0155
2026-02-20,BTC,2027-01-01,2026.0,0.11
2026-02-20,BTC,2027-01-01,2026.0,0.1
2026-02-20,BTC,2027-01-01,2026.0,0.084
2026-02-20,BTC,2027-01-01,2026.0,0.095
2026-02-20,BTC,2027-01-01,2026.0,0.075
2026-02-20,BTC,2027-01-01,2026.0,0.085
2026-02-20,BTC,2027-01-01,2026.0,0.095
2026-02-20,BTC,2027-01-01,2026.0,0.125
2026-02-20,BTC,2027-01-01,2026.0,0.21
2026-02-20,BTC,2027-01-01,2026.0,0.16
