date,underlying,spot
2026-01-15,BTC,96614.47
2026-01-16,BTC,95643.59
2026-01-17,BTC,95203.43
2026-01-18,BTC,95146.98
2026-01-19,BTC,93259.11
2026-01-20,BTC,90998.25
2026-01-21,BTC,89101.49
2026-01-22,BTC,89823.01
2026-01-23,BTC,89130.46
2026-01-24,BTC,89534.77
2026-01-25,BTC,88188.77
2026-01-26,BTC,87884.4
2026-01-27,BTC,88073.96
2026-01-28,BTC,88799.02
2026-01-29,BTC,87928.06
2026-01-30,BTC,82493.35
2026-01-31,BTC,82968.61
2026-02-01,BTC,78507.09
2026-02-02,BTC,76923.24
2026-02-03,BTC,78673.89
2026-02-04,BTC,76421.3
2026-02-05,BTC,71043.25
2026-02-06,BTC,64782.48
2026-02-07,BTC,68526.3
2026-02-08,BTC,70629.32
2026-02-09,BTC,69840.75
2026-02-10,BTC,69067.21
2026-02-11,BTC,66945.64
2026-02-12,BTC,67089.24
2026-02-13,BTC,66569.48
2026-02-14,BTC,69732.41
